Brand,Year,Model,UsedOrNew,Transmission,EngineSize,DriveType,FuelType,FuelConsumptionPer100km,Kilometres,ExteriorColour,CylindersinEngine,BodyType,Seats,Price,City,State
Kia,2018,Picanto,USED,Manual,1.2,Front,Unleaded,5.0,25986,White,4,Hatchback,5,17999,Victoria Park,WA
GWM,2023,Tank,DEMO,Automatic,2.0,4WD,-,9.5,1069,Orange,4,SUV,5,50990,Garbutt,QLD
Volkswagen,2017,Caddy,USED,Automatic,2.0,Front,Diesel,5.3,116994,White,4,Commercial,2,27888,Myaree,WA
Ford,2010,Territory,USED,Automatic,4.0,Rear,Unleaded,12.8,164959,Silver,6,SUV,7,13990,Hermit Park,QLD
Hyundai,2013,Iload,USED,Manual,2.4,Rear,Premium,10.1,290951,White,4,Commercial,3,13990,Osborne Park,WA
Nissan,2015,Navara,USED,Automatic,2.3,4WD,Diesel,7.0,163311,Gold,4,Ute / Tray,5,32990,West End,QLD
Subaru,2018,Forester,USED,Automatic,2.5,AWD,Unleaded,8.1,88268,Red,4,SUV,5,27999,Garbutt,QLD
Holden,2013,Cruze,USED,Manual,1.8,Front,Unleaded,7.0,54112,Red,4,Hatchback,5,13488,Rockingham,WA
MG,2018,6,USED,Automatic,1.8,Front,Premium,7.8,65920,Silver,4,Hatchback,5,14975,South Bunbury,WA
Subaru,2020,Impreza,USED,Automatic,2.0,AWD,Unleaded,6.6,42548,Blue,4,Sedan,5,27995,Garbutt,QLD
Toyota,2020,RAV4,USED,Automatic,2.5,Front,Hybrid,4.7,28050,Blue,4,SUV,5,57895,Bentley,WA
Mazda,2015,BT-50,USED,Automatic,3.2,4WD,Diesel,9.2,174917,Silver,5,Ute / Tray,5,29999,Garbutt,QLD
Toyota,2015,Hilux,USED,Manual,2.7,Rear,Unleaded,11.1,146105,White,4,Ute / Tray,2,24990,Bunbury,WA
Mercedes-Benz,2019,A200,USED,Automatic,1.3,Front,Premium,5.7,22835,Grey,4,Sedan,5,51988,Hyde Park,QLD
Ford,2020,Ranger,USED,Automatic,3.2,4WD,Diesel,8.9,37404,Silver,5,Ute / Tray,5,52988,Bentley,WA
Holden,2017,Captiva,USED,Automatic,2.4,Front,Unleaded,8.8,97721,Silver,4,SUV,5,16888,Myaree,WA
Mazda,2020,BT-50,USED,Automatic,3.0,4WD,Diesel,8.0,93341,White,4,Ute / Tray,5,56995,Garbutt,QLD
Hyundai,2019,Tucson,USED,Automatic,2.0,Front,Unleaded,7.9,154436,White,4,SUV,5,22990,Rockingham,WA
Subaru,2008,Forester,USED,Automatic,2.5,AWD,Unleaded,9.6,307600,Grey,4,SUV,5,3200,Mount Louisa,QLD
Jeep,2013,Grand,USED,Automatic,3.6,4WD,Premium,10.4,122460,Grey,6,SUV,5,21985,Victoria Park,WA
Mitsubishi,2022,ASX,DEMO,Automatic,2.0,Front,Unleaded,7.6,733,Red,4,SUV,5,32930,Townsville,QLD
Volkswagen,2013,Tiguan,USED,Automatic,2.0,AWD,Premium,8.8,128413,Blue,4,SUV,5,15990,Rockingham,WA
Toyota,2000,Camry,USED,Automatic,2.2,Front,Unleaded,10.0,343770,White,4,Sedan,5,2500,Mount Louisa,QLD
MG,2021,HS,USED,Automatic,1.5,Front,Unleaded,7.3,57041,White,4,SUV,5,22950,Morley,WA
MG,2023,ZST,NEW,Automatic,1.5,Front,-,6.9,11,Blue,4,SUV,5,27690,Townsville,QLD
Mazda,2013,CX-5,USED,Automatic,2.2,AWD,Diesel,5.7,196435,White,4,SUV,5,19888,Townsville,QLD
Holden,2017,Astra,USED,Manual,1.6,Front,Premium,6.5,61395,Silver,4,Hatchback,5,22988,Rockingham,WA
Toyota,2011,RAV4,NEW,Automatic,3.5,4WD,Unleaded,10.5,195040,Grey,6,SUV,5,16999,Garbutt,QLD
Volvo,2022,XC60,USED,Automatic,2.0,AWD,Hybrid,7.6,11198,White,4,SUV,5,68990,Osborne Park,WA
Volkswagen,2011,Tiguan,USED,Manual,2.0,4WD,Premium,8.7,118000,White,4,SUV,5,10200,Mount Louisa,QLD
Subaru,2015,Outback,USED,Automatic,2.5,AWD,Premium,7.3,167708,Silver,4,SUV,5,20990,Morley,WA
Isuzu,2014,D-MAX,USED,Automatic,3.0,4WD,Diesel,8.1,91986,White,4,Ute / Tray,4,37999,Garbutt,QLD
Nissan,2018,Navara,USED,Automatic,2.3,4WD,Diesel,7.0,108641,White,4,Ute / Tray,5,41888,Myaree,WA
LDV,2023,T60,NEW,Automatic,2.0,4WD,Diesel,9.3,11,White,4,Ute / Tray,5,38990,Townsville,QLD
Nissan,2013,Pulsar,USED,Manual,1.8,Front,Unleaded,7.2,96961,White,4,Sedan,5,12790,Myaree,WA
Toyota,2018,Hilux,USED,Automatic,2.8,4WD,Diesel,8.5,192824,White,4,Ute / Tray,5,41888,Townsville,QLD
