,Brand,Year,Model,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption/100km,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,Extcolour,City,State
14375,Peugeot,2019-01-01,3008,USED,Automatic,1.6,Front,Premium,7.0,56163.0,4,SUV,4,5,31988.0,Orange ,Bentley, WA
14376,Kia,2020-01-01,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,61515.0,4,Hatchback,5,5,23977.0,White ,Victoria Park, WA
14377,Nissan,2006-01-01,Tiida,USED,Automatic,1.8,Front,Unleaded,7.8,203316.0,4,Sedan,4,5,6990.0,White ,Hamilton Hill, WA
14378,Subaru,2020-01-01,Forester,USED,Automatic,2.5,AWD,Unleaded,7.4,56487.0,4,SUV,4,5,33999.0,White ,Victoria Park, WA
14380,Hyundai,2009-01-01,I30,USED,Automatic,2.0,Front,Unleaded,7.6,96670.0,4,Hatchback,5,5,9985.0,Red ,Victoria Park, WA
14381,Mitsubishi,2013-01-01,Pajero,USED,Automatic,3.2,4WD,Diesel,9.0,355475.0,4,SUV,4,7,13985.0,Gold ,Victoria Park, WA
14382,LDV,2021-01-01,D90,USED,Automatic,2.0,4WD,Diesel,9.1,51988.0,4,SUV,4,7,33950.0,White ,Morley, WA
14383,Nissan,2011-01-01,Navara,USED,Manual,2.5,4WD,Diesel,9.8,155782.0,4,Ute / Tray,4,5,12985.0,White ,Victoria Park, WA
14384,Toyota,2021-01-01,Corolla,USED,Automatic,2.0,Front,Unleaded,6.0,34458.0,4,Hatchback,5,5,29388.0,White ,Bentley, WA
14385,Ford,2012-01-01,Ranger,USED,Manual,2.2,Rear,Diesel,7.6,172612.0,4,Ute / Tray,4,5,18990.0,White ,Osborne Park, WA
14386,MG,2022-01-01,HS,USED,Automatic,1.5,Front,Unleaded,7.3,29197.0,4,SUV,4,5,26999.0,White ,Rockingham, WA
14387,Land,2018-01-01,Rover,USED,Automatic,3.0,AWD,Diesel,6.9,100708.0,6,SUV,4,5,84990.0,White ,Osborne Park, WA
14389,Hyundai,2019-01-01,Tucson,USED,Automatic,2.0,Front,Unleaded,7.9,61211.0,4,SUV,4,5,30490.0,Silver ,Victoria Park, WA
14390,Holden,2011-01-01,Commodore,USED,Automatic,6.0,Rear,Premium,4.6,143935.0,8,Sedan,4,5,34998.0,Yellow ,Bentley, WA
14391,Isuzu,2017-01-01,MU-X,USED,Automatic,3.0,4WD,Diesel,7.9,46480.0,4,SUV,4,7,51984.0,White ,Bentley, WA
14392,Nissan,2000-01-01,Patrol,USED,Manual,3.0,4WD,Diesel,7.3,370553.0,4,SUV,4,7,15990.0,Gold ,Victoria Park, WA
14393,Subaru,2020-01-01,Forester,USED,Automatic,2.5,AWD,Unleaded,7.4,57341.0,4,SUV,4,5,34990.0,Blue ,Melville, WA
14394,HSV,2015-01-01,Senator,USED,Automatic,6.2,Rear,Premium,3.7,45699.0,8,Sedan,4,5,77888.0,Silver ,Maddington, WA
14396,Toyota,2023-01-01,RAV4,USED,Automatic,2.5,Front,Hybrid,4.8,34.0,4,SUV,5,5,67999.0,Blue ,Rockingham, WA
14397,Volkswagen,2019-01-01,Tiguan,USED,Automatic,2.0,AWD,Premium,7.5,75662.0,4,SUV,4,5,36990.0,Silver ,Victoria Park, WA
14398,Toyota,2011-01-01,Hilux,USED,Manual,3.0,4WD,Diesel,8.3,184178.0,4,Ute / Tray,4,5,19985.0,White ,Victoria Park, WA
14399,Volkswagen,2018-01-01,Golf,USED,Automatic,2.0,AWD,Premium,6.6,41336.0,4,Hatchback,5,5,47990.0,Black ,Myaree, WA
14400,Mitsubishi,2019-01-01,Pajero,USED,Automatic,3.2,4WD,Diesel,9.0,68300.0,4,SUV,4,7,44999.0,White ,Rockingham, WA
14401,Mitsubishi,2016-01-01,Pajero,USED,Automatic,2.4,4WD,Diesel,8.0,135983.0,4,SUV,4,7,37984.0,Grey ,Bentley, WA
14402,Mitsubishi,2016-01-01,Pajero,USED,Automatic,3.2,4WD,Diesel,9.0,103026.0,4,SUV,4,7,41990.0,White ,Rockingham, WA
14403,Toyota,2017-01-01,Hilux,USED,Automatic,2.8,4WD,Diesel,8.5,131039.0,4,Ute / Tray,4,5,57875.0,White ,Kenwick, WA
14404,Mercedes-Benz,2018-01-01,CLA45,USED,Automatic,2.0,AWD,Premium,6.9,69743.0,4,Sedan,4,5,67990.0,White ,Bentley, WA
14406,Land,2016-01-01,Rover,USED,Automatic,2.0,AWD,Diesel,5.1,41250.0,4,SUV,5,5,40777.0,Red ,Myaree, WA
14407,Mercedes-Benz,2016-01-01,GLC250,USED,Automatic,2.0,AWD,Premium,7.2,82410.0,4,SUV,4,5,49481.0,Black ,Melville, WA
14408,Land,2019-01-01,Rover,USED,Automatic,2.0,AWD,Diesel,6.6,74472.0,4,SUV,4,5,49900.0,White ,South Bunbury, WA
14409,Hyundai,2020-01-01,I30,USED,Automatic,2.0,Front,Unleaded,7.4,75518.0,4,Hatchback,4,5,22977.0,White ,Bentley, WA
14410,Subaru,2014-01-01,WRX,USED,Manual,2.5,AWD,Premium,0.4,74822.0,4,Sedan,4,5,48999.0,Black ,Bayswater, WA
14411,Ford,2023-01-01,Ranger,USED,Automatic,3.0,4WD,Premium,0.5,55.0,6,Ute / Tray,4,5,111878.0,Orange ,Maddington, WA
14412,Land,2015-01-01,Rover,USED,Automatic,2.0,AWD,Premium,8.0,113280.0,4,SUV,4,5,31998.0,White ,Cannington, WA
14413,Subaru,2020-01-01,XV,USED,Automatic,2.0,AWD,Hybrid,6.5,46198.0,4,SUV,4,5,35980.0,White ,Victoria Park, WA
14414,Volkswagen,2018-01-01,Polo,USED,Automatic,2.0,Front,Premium,6.1,43765.0,4,Hatchback,5,5,31888.0,Blue ,Bibra Lake, WA
14415,Mitsubishi,2020-01-01,Pajero,USED,Automatic,2.4,4WD,Diesel,8.0,22409.0,4,SUV,4,7,53999.0,Grey ,Welshpool, WA
14416,Toyota,2016-01-01,Hilux,USED,Automatic,2.8,4WD,Diesel,8.5,181100.0,4,Ute / Tray,4,5,39990.0,White ,East Bunbury, WA
14417,Mitsubishi,2020-01-01,ASX,USED,Automatic,2.0,Front,Unleaded,7.6,58379.0,4,SUV,4,5,27688.0,White ,Bibra Lake, WA
14418,BMW,2022-01-01,X2,USED,Automatic,2.0,AWD,Premium,7.4,2996.0,4,SUV,4,5,76898.0,Blue ,Maddington, WA
14419,Isuzu,2021-01-01,D-MAX,USED,Automatic,1.9,Front,Diesel,7.0,3212.0,4,Ute / Tray,2,2,38888.0,White ,Cannington, WA
14420,Honda,2020-01-01,CR-V,USED,Automatic,1.5,Front,Unleaded,7.3,33500.0,4,SUV,4,7,36999.0,White ,Gosnells, WA
14421,Holden,2017-01-01,Trailblazer,USED,Automatic,2.8,4WD,Diesel,9.4,101956.0,4,SUV,4,7,31981.0,Red ,Melville, WA
14422,Mitsubishi,2022-01-01,Triton,USED,Automatic,2.4,4WD,Diesel,8.6,25384.0,4,Ute / Tray,4,5,49998.0,White ,Morley, WA
14423,Lexus,2020-01-01,IS350,USED,Automatic,3.5,Rear,Premium,9.7,29222.0,6,Sedan,4,5,65778.0,White ,Maddington, WA
14424,Isuzu,2019-01-01,MU-X,USED,Automatic,3.0,4WD,Diesel,7.9,108014.0,4,SUV,4,7,51988.0,Silver ,Bentley, WA
14425,Volkswagen,2019-01-01,Golf,USED,Automatic,2.0,Front,Premium,6.7,35390.0,4,Hatchback,5,5,39990.0,Black ,Midland, WA
14426,Toyota,2022-01-01,GR86,USED,Manual,2.4,Rear,Premium,9.4,502.0,4,Coupe,2,4,48850.0,White ,Myaree, WA
14427,Ford,2015-01-01,Ranger,USED,Automatic,2.2,4WD,Diesel,8.1,257092.0,4,Ute / Tray,4,5,26990.0,White ,Osborne Park, WA
14428,Hyundai,2020-01-01,Kona,USED,Automatic,2.0,Front,Unleaded,6.2,49154.0,4,SUV,4,5,26999.0,Silver ,Victoria Park, WA
14429,Volkswagen,2018-01-01,Golf,USED,Automatic,2.0,Front,Premium,6.7,41523.0,4,Hatchback,5,5,40982.0,Red ,Bentley, WA
14430,Hyundai,2022-01-01,I30,USED,Automatic,2.0,Front,Unleaded,7.0,1269.0,4,Sedan,4,5,37555.0,White ,Bibra Lake, WA
14431,Toyota,2021-01-01,Landcruiser,USED,Automatic,4.5,4WD,Diesel,9.5,50882.0,8,SUV,4,7,124789.0,Black ,Mandurah, WA
14432,MG,2020-01-01,ZST,USED,Automatic,1.3,Front,Unleaded,7.3,30270.0,3,SUV,5,5,28888.0,White ,Bibra Lake, WA
14433,Toyota,2022-01-01,Landcruiser,USED,Manual,4.5,4WD,Diesel,0.7,31762.0,8,SUV,4,5,92999.0,White ,Welshpool, WA
14434,Volvo,2022-01-01,XC60,USED,Automatic,2.0,AWD,Hybrid,7.6,17359.0,4,SUV,4,5,69900.0,White ,South Bunbury, WA
